species,maxlength.cm,maxage.y,maxdepth.m
Sebastes.reedi,58,99,366
Sebastes.crameri,58,66,915
Sebastes.ciliatus,53,67,160
Sebastes.polyspinis,41,57,740
Sebastes.alutus,51,100,825
Sebastes.aurora,41,75,893
Sebastes.phillipsi,43,53,274
Sebastes.diploproa,46,84,894
Sebastes.atrovirens,42,20,58
Sebastes.carnatus,39,30,86
Sebastes.chrysomelas,39,22,37
Sebastes.caurinus,58,55,185
Sebastes.maliger,61,90,274
Sebastes.nebulosus,45,79,128
Sebastes.dallii,25,12,305
Sebastes.rastrelliger,56,23,46
Sebastes.auriculatus,56,20,146
Sebastes.saxicola.Type.S,34,38,547
Sebastes.semicinctus,25,15,402
Sebastes.levis,100,55,491
Sebastes.jordani,32,31,491
Sebastes.paucispinis,91,50,475
Sebastes.goodei,56,27,491
Sebastes.constellatus,46,32,274
Sebastes.umbrosus,29.8,31,270
Sebastes.rosaceus,36,14,263
Sebastes.chlorostictus,50,33,379
Sebastes.rosenblatti,48,50,491
Sebastes.eos,56,67,366
Sebastes.simulator,30,53,450
Sebastes.ensifer,30,43,433
Sebastes.babcocki,64,106,1145
Sebastes.nigrocinctus,61,116,298
Sebastes.rubrivinctus,51,18,418
Sebastes.serriceps,41,23,97
Sebastes.ovalis,56,37,366
Sebastes.hopkinsi,29,19,305
Sebastes.rufus,51,53,454
Sebastes.entomelas,60,60,800
Sebastes.mystinus,61,44,549
Sebastes.flavidus,66,64,549
Sebastes.melanops,63,50,366
Sebastes.serranoides,61,25,172
Sebastes.miniatus.Type.1,91,43,439
Sebastes.pinniger,76,84,439
Sebastes.melanostomus,61,90,768
Sebastes.macdonaldi,66,20,350
Sebastes.ruberrimus,104,118,549
Sebastes.brevispinis,71,82,441
Sebastes.borealis,108,157,1200
Sebastes.emphaeus,18,13,366
Sebastes.variegatus,38,47,558
Sebastes.wilsoni,23,24,383
Sebastes.zacentrus,39,58,660
Sebastes.proriger,61,55,442
Sebastes.aleutianus,97,205,732
